movie name,duration,genre,ratings,description,Director,votes
Unforgiven,130 min,"Drama, Western",8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",Clint Eastwood,332233
Idi i smotri,142 min,"Drama, War",8.2,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,41436
Ran,162 min,"Action, Drama",8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,97127
Raging Bull,129 min,"Biography, Drama, Sport",8.2,"The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it.",Martin Scorsese,280593
The Elephant Man,124 min,"Biography, Drama",8.2,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.",David Lynch,195921
Chinatown,130 min,"Drama, Mystery, Thriller",8.2,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,259494
Andrei Rublev,205 min,"Biography, Drama, History",8.2,"The life, times and afflictions of the fifteenth-century Russian iconographer.",Andrei Tarkovsky,37108
The Great Escape,172 min,"Adventure, Drama, History",8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,200458
Judgment at Nuremberg,186 min,"Drama, War",8.2,"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.",Stanley Kramer,59955
Smultronstallet,91 min,"Drama, Romance",8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,81734
Det sjunde inseglet,96 min,"Drama, Fantasy",8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,139380
The Bridge on the River Kwai,161 min,"Adventure, Drama, War",8.2,"After settling his differences with a Japanese P.O.W. camp commander, a British Colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.",David Lean,182032
On the Waterfront,108 min,"Crime, Drama, Thriller",8.2,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,125622
Tokyo monogatari,136 min,Drama,8.2,An old couple visit their children and grandchildren in the city,but the children have little time for them.,Yasujiro Ozu
The Treasure of the Sierra Madre,126 min,"Adventure, Drama, Western",8.2,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",John Huston,99218
Mr. Smith Goes to Washington,129 min,"Comedy, Drama",8.2,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,96110
Gone with the Wind,238 min,"Drama, History, Romance",8.2,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming,258047
La passion de Jeanne d'Arc,110 min,"Biography, Drama, History",8.2,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,39137
Sunrise: A Song of Two Humans,94 min,"Drama, Romance",8.2,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,F.W. Murnau,41896
The General,67 min,"Action, Adventure, Comedy",8.2,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman,69789
The Gold Rush,95 min,"Adventure, Comedy, Drama",8.2,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,87084
Ah-ga-ssi,144 min,"Drama, Romance, Thriller",8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Chan-wook Park,71310
Logan,137 min,"Action, Drama, Sci-Fi",8.1,"In the near future, a weary Logan cares for an ailing Professor X. However, Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",James Mangold,526373
Relatos salvajes,122 min,"Comedy, Drama, Thriller",8.1,Six short stories that explore the extremities of human behavior involving people in distress.,Damien Szifron,144377
The Grand Budapest Hotel,99 min,"Adventure, Comedy, Drama",8.1,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",Wes Anderson,613739
Gone Girl,149 min,"Crime, Drama, Mystery",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,734678
Hacksaw Ridge,139 min,"Biography, Drama, History",8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,347118
12 Years a Slave,134 min,"Biography, Drama, History",8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,559952
Rush,123 min,"Action, Biography, Drama",8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,382742
Spotlight,129 min,"Crime, Drama, History",8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,347781
The Help,146 min,Drama,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,382848
